provinsi,tahun,bulan,indikator,nilai,satuan,sumber
Aceh,2017,Januari,Curah Hujan,337.9,mm,BPS
Aceh,2017,Februari,Curah Hujan,108.7,mm,BPS
Aceh,2017,Maret,Curah Hujan,327.5,mm,BPS
Aceh,2017,April,Curah Hujan,50.6,mm,BPS
Aceh,2017,Mei,Curah Hujan,167,mm,BPS
Aceh,2017,Juni,Curah Hujan,29.7,mm,BPS
Aceh,2017,Juli,Curah Hujan,20.3,mm,BPS
Aceh,2017,Agustus,Curah Hujan,64.8,mm,BPS
Aceh,2017,September,Curah Hujan,194.8,mm,BPS
Aceh,2017,Oktober,Curah Hujan,193.7,mm,BPS
Aceh,2017,November,Curah Hujan,429.6,mm,BPS
Aceh,2017,Desember,Curah Hujan,473.7,mm,BPS
Aceh,2018,Januari,Curah Hujan,252.7,mm,BPS
Aceh,2018,Februari,Curah Hujan,229.6,mm,BPS
Aceh,2018,Maret,Curah Hujan,76.9,mm,BPS
Aceh,2018,April,Curah Hujan,261.2,mm,BPS
Aceh,2018,Mei,Curah Hujan,402,mm,BPS
Aceh,2018,Juni,Curah Hujan,77.1,mm,BPS
Aceh,2018,Juli,Curah Hujan,81.7,mm,BPS
Aceh,2018,Agustus,Curah Hujan,95.1,mm,BPS
Aceh,2018,September,Curah Hujan,196.6,mm,BPS
Aceh,2018,Oktober,Curah Hujan,307,mm,BPS
Aceh,2018,November,Curah Hujan,578.4,mm,BPS
Aceh,2018,Desember,Curah Hujan,498.8,mm,BPS
Aceh,2019,Januari,Curah Hujan,126.9,mm,BPS
Aceh,2019,Februari,Curah Hujan,99.5,mm,BPS
Aceh,2019,Maret,Curah Hujan,87.43,mm,BPS
Aceh,2019,April,Curah Hujan,209.8,mm,BPS
Aceh,2019,Mei,Curah Hujan,75.5,mm,BPS
Aceh,2019,Juni,Curah Hujan,117.2,mm,BPS
Aceh,2019,Juli,Curah Hujan,135.8,mm,BPS
Aceh,2019,Agustus,Curah Hujan,40.1,mm,BPS
Aceh,2019,September,Curah Hujan,83.3,mm,BPS
Aceh,2019,Oktober,Curah Hujan,371,mm,BPS
Aceh,2019,November,Curah Hujan,178.5,mm,BPS
Aceh,2019,Desember,Curah Hujan,99,mm,BPS
