provinsi,kabupaten_kota,indikator,nilai,satuan,tanggal,sumber
Aceh,Semua Kabupaten/Kota,Rumah Rusak (Total),121972,unit,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Perkantoran Rusak,260,unit,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Tempat Ibadah Rusak,631,unit,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Sekolah Rusak,444,unit,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Pondok Pesantren Rusak,511,unit,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Fasilitas Kesehatan Rusak,191,unit,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Jalan Rusak,1098,titik,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Jembatan Rusak,492,titik,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Sawah Terdampak,90601,hektare,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Kebun Terdampak,23307,hektare,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Tambak Terdampak,39426,hektare,2025-12-22,BPBA / RMOLAceh
Aceh,Semua Kabupaten/Kota,Ternak Terdampak,160065,ekor,2025-12-22,BPBA / RMOLAceh
